"","year","state","state_po","county","FIPS","totalvotes","democrat","republican","totalPop","over18percent","under24","over65","medianAge","sexRatio","turnout","whitePercent","highschool","bachelor","grad","medianIncome","meanIncome"
"1",2012,"Alabama","AL","Autauga",1001,23932,6363,17379,54590,73.2,8.8,12.3,37,94.6,59.8900697399492,78.9228796482872,33.8,14.5,7.2,53773,66679
"2",2012,"Alabama","AL","Baldwin",1003,85338,18424,66016,183226,77,7.6,16.9,41.2,95,60.4873606521844,86.3736587602196,28.8,18.7,9,50706,66655
"3",2012,"Alabama","AL","Barbour",1005,11509,5912,5550,27469,78.1,9,14.6,38.2,116,53.6467858145201,48.9570060795806,33.3,8.5,6,31889,43591
"4",2012,"Alabama","AL","Bibb",1007,8420,2202,6132,22769,76.8,8.6,12.9,39.4,114.5,48.1511777709459,76.6788176907198,41.6,6,3,36824,47405
"5",2012,"Alabama","AL","Blount",1009,24006,2970,20757,57466,75.6,8.3,14.9,39.1,98.3,55.2569663000179,94.8508683395399,36.2,8.1,4.3,45192,55623
"6",2012,"Alabama","AL","Bullock",1011,5322,4061,1251,10779,77.9,7.6,13.9,40.7,125.4,63.3809786323214,28.0916597086928,36,6.4,5.5,34500,50190
"7",2012,"Alabama","AL","Butler",1013,9496,4374,5087,20730,76,8.1,16.8,40.3,88.6,60.2736943661614,54.8962855764592,38.8,8.7,4.1,30752,41965
"8",2012,"Alabama","AL","Calhoun",1015,46257,15511,30278,117834,77.2,10.7,14.6,38.7,92.7,50.8498343282783,75.025035219037,33.5,10,6,40093,52012
"9",2012,"Alabama","AL","Chambers",1017,14611,6871,7626,34228,77.2,8.2,16.8,41.4,90.2,55.2943958253734,58.9312843286198,35,7.4,3.7,32181,43865
"10",2012,"Alabama","AL","Cherokee",1019,9779,2132,7506,25917,79.4,8,18.1,44.3,96.8,47.5213987220782,92.8888374426052,33.5,7.7,5.4,36241,51331
"11",2012,"Alabama","AL","Chilton",1021,17462,3397,13932,43611,75,8.7,13.7,37.6,97.1,53.3871423876239,86.8404760266905,39.2,7.9,4.6,40834,54493
"12",2012,"Alabama","AL","Choctaw",1023,7968,3786,4152,13838,77.5,8,18.6,44,93.8,74.2975164227536,55.4270848388496,38.3,7.7,4.2,35123,47183
"13",2012,"Alabama","AL","Clarke",1025,13851,6334,7470,25768,75.2,8.4,16.1,39.9,89.7,71.4796762601809,54.3891648556349,41.4,8,4.7,30954,48451
"14",2012,"Alabama","AL","Clay",1027,6662,1777,4817,13828,77.4,7.4,17.8,41.7,96.4,62.2449749936279,81.9496673416257,38.2,5.7,3.1,34556,43098
"15",2012,"Alabama","AL","Cleburne",1029,6305,971,5272,14905,75.9,7.7,16.2,41.2,96.7,55.7328605984587,94.7467292854747,38.1,5.2,4.3,37244,49832
"16",2012,"Alabama","AL","Coffee",1031,19770,4925,14666,49966,75.9,9,14.6,37.8,97.6,52.1303102710634,77.3546011287676,29.6,14,8.6,44626,59184
"17",2012,"Alabama","AL","Colbert",1033,23385,9166,13936,54451,77.9,8.3,17.4,41.7,92.5,55.1307697851508,80.6504931038916,34.9,11.9,6.1,40158,52603
"18",2012,"Alabama","AL","Conecuh",1035,7022,3555,3439,13188,77.1,9.4,18.3,43.3,95.1,69.0601486160236,51.5165301789506,41.2,5.1,4.6,27064,42263
"19",2012,"Alabama","AL","Coosa",1037,5269,2191,3049,11305,79.8,7.7,17.1,44.4,103.9,58.4056337216327,67.6426360017691,43.9,4.9,4.7,37425,45356
"20",2012,"Alabama","AL","Covington",1039,15423,3158,12153,37803,77.4,8.1,18.8,42.5,94.1,52.7110456554964,84.7922122582864,34.1,8.6,5.2,35321,49037
"21",2012,"Alabama","AL","Crenshaw",1041,6418,2050,4331,13971,76.2,8.4,15.9,40.3,95.1,60.2861082132824,72.5932288311502,38.9,6.4,4.6,37309,51123
"22",2012,"Alabama","AL","Cullman",1043,34457,5052,28999,80403,76.8,8.5,16.1,40.1,98.3,55.8012579339909,95.9889556359837,32.6,8.6,5.5,39244,51582
"23",2012,"Alabama","AL","Dale",1045,18557,5286,13108,50129,75.3,9.5,13.7,36,98.1,49.1613443424862,74.9825450338128,30.6,11.7,5.8,45247,55050
"24",2012,"Alabama","AL","Dallas",1047,20953,14612,6288,43572,73.5,9.4,14.1,37.3,85.2,65.4261521004252,29.2343706967777,35.3,8,5.3,26178,42231
"25",2012,"Alabama","AL","DeKalb",1049,23863,5239,18331,70949,74.3,8.2,14,37.9,97.2,45.2678584148563,91.3022029908808,35.6,5.8,4,36853,48398
"26",2012,"Alabama","AL","Elmore",1051,35485,8954,26253,79330,76.5,9.5,12,37.7,95.8,58.4717268562116,75.7834362788353,34.3,13.8,7.3,55514,66088
"27",2012,"Alabama","AL","Escambia",1053,14869,5489,9287,38122,77,8.2,15.1,38.7,106.8,50.6541881600903,63.0187293426368,34.9,8.2,4,31075,42568
"28",2012,"Alabama","AL","Etowah",1055,42530,12803,29130,104317,77,8.6,15.9,40.2,93.4,52.9480010293301,81.894609699282,32.6,9.6,5.6,37660,51421
"29",2012,"Alabama","AL","Fayette",1057,7946,1817,6054,17219,78.1,8.2,18.2,43.1,96.9,59.0866817087607,86.6542772518729,38.9,6.1,5.5,33090,43970
